,MLS No,Status,Address,Unit,DOM,City,LP,SP,BT,SqFt,BR,Bth,Gar,GarSp,YrBlt,HOA Fee,Freq,Closing Date,Age,Area,Zip
0,ML81786575,SLD,1988 Prince George Drive,,7,SAN JOSE,"$299,000","$365,000",CO,456,1,1,Y,1.0,1983.0,325,,4/24/2020,37.0,Alum Rock,95116
1,ML81790737,SLD,81 Castlebridge Drive,,35,SAN JOSE,"$299,888","$380,000",CO,456,1,1,Y,1.0,1983.0,330,,6/30/2020,37.0,Alum Rock,95116
2,40937495,SLD,1158 Lick Ave,,6,SAN JOSE,"$299,950","$570,500",DE,1077,2,1,Y,2.0,1901.0,,,3/2/2021,120.0,Santa Clara County,95110
3,ML81750235,SLD,247 N Capitol Avenue,227,47,SAN JOSE,"$330,000","$330,000",CO,777,1,1,,0.0,1977.0,310,,7/31/2019,42.0,Alum Rock,95127
4,ML81819190,SLD,78 Castlebridge Drive,,3,SAN JOSE,"$333,000","$360,000",CO,456,1,1,Y,1.0,1983.0,336,,11/20/2020,37.0,Alum Rock,95116
5,ML81738827,SLD,247 N Capitol Avenue,106,90,SAN JOSE,"$344,888","$340,000",CO,777,1,1,,0.0,1977.0,300,,6/14/2019,42.0,Alum Rock,95127
6,ML81747944,SLD,259 N Capitol Avenue,164,4,SAN JOSE,"$344,888","$344,888",CO,777,1,1,,0.0,1977.0,310,M,5/3/2019,42.0,Alum Rock,95127
7,40878065,SLD,260 Stonegate Cir,,91,SAN JOSE,"$349,000","$285,000",CO,468,1,1,Y,1.0,1984.0,260,M,1/7/2020,36.0,Santa Clara County,95110
8,ML81860212,SLD,1990 Prince George Drive,,7,SAN JOSE,"$349,000","$355,000",CO,456,1,1,Y,1.0,1983.0,355,,10/6/2021,38.0,Alum Rock,95116
9,ML81764402,SLD,260 Stonegate Circle,,111,SAN JOSE,"$349,000","$285,000",CO,468,1,1,Y,1.0,1984.0,260,M,1/7/2020,35.0,Central San Jose,95110
10,ML81824855,SLD,247 N Capitol Avenue,234,22,SAN JOSE,"$349,999","$336,375",CO,777,1,1,,0.0,1977.0,347,,2/27/2021,44.0,Alum Rock,95127
11,ML81773817,SLD,247 N Capitol Avenue,203,26,SAN JOSE,"$350,000","$375,000",CO,777,1,1,,0.0,1977.0,330,,1/9/2020,42.0,Alum Rock,95127
12,ML81821902,SLD,5334 Monterey Highway,1,8,SAN JOSE,"$350,000","$240,000",CO,700,1,1,Y,1.0,1979.0,304,M,12/17/2020,41.0,South San Jose,95111
13,ML81747208,SLD,247 N Capitol Avenue,127,0,SAN JOSE,"$350,000","$350,000",CO,777,1,1,,0.0,1977.0,310,,4/15/2019,42.0,Alum Rock,95127
14,ML81779011,SLD,1052 Tekman Drive,,8,SAN JOSE,"$355,999","$378,000",CO,648,1,1,,0.0,1984.0,320,,1/29/2020,36.0,South San Jose,95122
15,ML81826196,SLD,5334 Monterey Highway,1,0,SAN JOSE,"$356,488","$356,488",CO,700,1,1,Y,1.0,1979.0,350,,1/21/2021,42.0,South San Jose,95111
16,ML81777104,SLD,1062 Summershore Court,,36,SAN JOSE,"$359,000","$359,000",CO,512,1,1,,0.0,1992.0,390,,2/27/2020,27.0,South San Jose,95122
17,ML81797888,SLD,1032 Summermist,,5,SAN JOSE,"$359,000","$355,000",CO,512,1,1,,0.0,1985.0,450,,8/3/2020,35.0,South San Jose,95122
18,ML81772359,SLD,259 N Capitol Avenue,278,13,SAN JOSE,"$359,000","$375,000",CO,777,1,1,,0.0,1977.0,330,,11/30/2019,42.0,Alum Rock,95127
19,ML81763203,SLD,2456 Balme Drive,,101,SAN JOSE,"$360,000","$355,000",CO,648,1,1,,0.0,1984.0,300,,12/13/2019,35.0,South San Jose,95122
20,ML81750277,SLD,172 Monte Verano Court,,158,SAN JOSE,"$364,999","$365,000",CO,597,1,1,,0.0,2005.0,341,,12/5/2019,14.0,Alum Rock,95116
21,ML81750882,SLD,259 N Capitol Avenue,273,29,SAN JOSE,"$365,000","$355,000",CO,777,1,1,,0.0,1977.0,310,,6/28/2019,42.0,Alum Rock,95127
22,ML81806423,SLD,54 Castlecrest Drive,,8,SAN JOSE,"$365,999","$352,500",CO,456,1,1,Y,1.0,1983.0,336,,10/2/2020,37.0,Alum Rock,95116
23,ML81765480,SLD,247 N Capitol Avenue,287,7,SAN JOSE,"$368,000","$365,000",CO,777,1,1,,0.0,1977.0,329,,11/13/2019,42.0,Alum Rock,95127
24,40946229,SLD,158 Monte Verano Ct,,34,SAN JOSE,"$369,000","$369,000",CO,597,1,1,N,1.0,1988.0,355,M,6/8/2021,33.0,Santa Clara County,95116
25,ML81798394,SLD,1091 Tekman Drive,,5,SAN JOSE,"$369,000","$370,000",CO,648,1,1,,0.0,1984.0,320,,7/16/2020,36.0,South San Jose,95122
26,ML81737914,SLD,1064 Tekman Drive,,68,SAN JOSE,"$374,888","$375,000",CO,648,1,1,,0.0,1984.0,300,,5/14/2019,35.0,South San Jose,95122
27,ML81797749,SLD,90 Kenbrook Circle,,10,SAN JOSE,"$375,000","$396,000",CO,724,1,1,Y,1.0,1987.0,312,,7/9/2020,33.0,South San Jose,95111
28,ML81769521,SLD,213 Kenbrook Circle,,17,SAN JOSE,"$375,000","$375,000",CO,724,1,1,Y,1.0,1987.0,312,,11/1/2019,32.0,South San Jose,95111
29,ML81744457,SLD,63 Monte Verano Court,,6,SAN JOSE,"$375,000","$400,000",CO,597,1,1,,0.0,1988.0,341,,4/26/2019,31.0,Alum Rock,95116
30,ML81760329,SLD,6090 Montgomery Court,,98,SAN JOSE,"$375,000","$375,000",CO,913,2,1,,0.0,1973.0,735,,11/27/2019,46.0,Evergreen,95135
31,ML81788044,SLD,6090 Montgomery Court,,36,SAN JOSE,"$375,000","$375,000",CO,913,2,1,,0.0,1973.0,755,,5/15/2020,47.0,Evergreen,95135
32,ML81819663,SLD,5158 Cribari Knolls,,11,SAN JOSE,"$375,000","$350,000",CO,1240,2,2,,0.0,1970.0,816,M,12/24/2020,50.0,Evergreen,95135
33,ML81820106,SLD,79 Castlebridge Drive,,3,SAN JOSE,"$375,000","$372,000",CO,456,1,1,Y,1.0,1983.0,336,,11/25/2020,37.0,Alum Rock,95116
34,ML81765746,SLD,102 Rancho Drive,A,3,SAN JOSE,"$375,000","$380,000",CO,822,2,1,Y,1.0,1983.0,340,,9/30/2019,36.0,South San Jose,95111
35,ML81800824,SLD,178 Monte Verano Court,,21,SAN JOSE,"$375,950","$375,000",CO,597,1,1,,0.0,1988.0,358,,8/27/2020,32.0,Alum Rock,95116
36,ML81764592,SLD,2454 Balme,Drive,17,SAN JOSE,"$377,888","$370,000",CO,648,1,1,,0.0,1982.0,310,,9/27/2019,37.0,South San Jose,95122
37,ML81855508,SLD,89 Castlebridge Drive,,8,SAN JOSE,"$378,000","$390,000",CO,560,1,1,Y,1.0,1983.0,355,,9/3/2021,38.0,Alum Rock,95116
38,ML81737469,SLD,1060 Tekman Drive,,52,SAN JOSE,"$379,000","$355,000",CO,648,1,1,,0.0,1984.0,300,,4/30/2019,35.0,South San Jose,95122
39,ML81749710,SLD,1055 N Capitol Avenue,111,132,SAN JOSE,"$379,888","$380,500",CO,632,1,1,,0.0,1981.0,440,,11/19/2019,38.0,Berryessa,95133
40,ML81843166,SLD,259 N Capitol Avenue,103,15,SAN JOSE,"$379,888","$420,000",CO,777,1,1,,0.0,1977.0,347,M,6/25/2021,44.0,Alum Rock,95127
41,ML81785151,SLD,236 E Empire Street,,158,SAN JOSE,"$379,950","$310,000",DE,672,2,1,,0.0,1900.0,,,8/25/2020,120.0,Central San Jose,95112
42,ML81777424,SLD,5479 Cribari Green,,158,SAN JOSE,"$379,999","$380,000",CO,1223,2,2,,0.0,1970.0,774,,6/8/2020,49.0,Evergreen,95135
43,ML81724211,SLD,516 Martha Street,207,135,SAN JOSE,"$380,000","$365,000",CO,474,1,1,,0.0,1999.0,345,,2/15/2019,19.0,Central San Jose,95112
44,ML81822907,SLD,2208 Summereve Court,,26,SAN JOSE,"$380,000","$385,000",CO,746,1,1,,0.0,1985.0,493,,1/22/2021,35.0,South San Jose,95122
45,ML81739306,SLD,51 Kenbrook Circle,,67,SAN JOSE,"$384,900","$385,000",CO,950,1,1,Y,1.0,1987.0,330,,5/14/2019,32.0,South San Jose,95111
46,40853719,SLD,51 Kenbrook Cir,,35,SAN JOSE,"$384,900","$385,000",CO,950,1,1,Y,1.0,1987.0,330,M,5/14/2019,32.0,Santa Clara County,95111
47,ML81765988,SLD,211 Kenbrook Circle,CL,38,SAN JOSE,"$385,000","$382,500",CO,724,1,1,Y,1.0,1987.0,312,,10/25/2019,32.0,South San Jose,95111
48,ML81771810,SLD,1055 N Capitol Avenue,120,73,SAN JOSE,"$385,000","$367,000",CO,632,1,1,,0.0,1981.0,440,,1/10/2020,38.0,Berryessa,95133
49,ML81846424,SLD,1992 Prince George Drive,,29,SAN JOSE,"$385,000","$390,000",CO,560,1,1,Y,1.0,1983.0,355,M,7/7/2021,38.0,Alum Rock,95116
50,ML81842198,SLD,3819 7 Trees Boulevard,104,66,SAN JOSE,"$387,950","$385,000",CO,746,1,1,,0.0,1980.0,433,M,8/9/2021,41.0,South San Jose,95111
51,ML81756738,SLD,480 Coyote Creek Circle,,0,SAN JOSE,"$388,000","$377,000",CO,633,1,1,Y,1.0,1984.0,307,,9/6/2019,35.0,Central San Jose,95116
52,ML81837685,SLD,5332 Monterey Highway,5,35,SAN JOSE,"$388,000","$400,000",CO,700,1,1,,0.0,1979.0,256,M,6/10/2021,42.0,South San Jose,95111
53,ML81787221,SLD,247 N Capitol Avenue,288,7,SAN JOSE,"$388,888","$400,000",CO,777,1,1,,0.0,1977.0,330,,4/28/2020,43.0,Alum Rock,95127
54,ML81843014,SLD,60 Muirfield Court,,13,SAN JOSE,"$389,000","$450,000",CO,780,1,1,Y,1.0,1982.0,400,,6/23/2021,39.0,Alum Rock,95116
55,ML81814497,SLD,259 N Capitol Avenue,115,0,SAN JOSE,"$389,000","$407,000",CO,777,1,1,,0.0,1977.0,347,M,10/7/2020,43.0,Alum Rock,95127
56,ML81853438,SLD,516 Martha Street,203,49,SAN JOSE,"$389,000","$378,000",CO,519,1,1,Y,1.0,1999.0,418,M,10/1/2021,22.0,Central San Jose,95112
57,ML81805843,SLD,247 N Capitol Avenue,109,7,SAN JOSE,"$389,000","$405,000",CO,777,1,1,,0.0,1977.0,330,,9/11/2020,43.0,Alum Rock,95127
58,ML81807478,SLD,259 N Capitol Avenue,181,9,SAN JOSE,"$389,000","$420,000",CO,777,1,1,,0.0,1977.0,347,M,9/28/2020,43.0,Alum Rock,95127
59,40918130,SLD,28 Castlecrest Dr,,73,SAN JOSE,"$389,000","$389,000",CO,560,1,1,Y,1.0,1983.0,338,M,1/22/2021,38.0,Santa Clara County,95116
60,ML81780436,SLD,6094 Montgomery Court,,2,SAN JOSE,"$389,000","$435,000",CO,913,2,1,,0.0,1973.0,714,,2/14/2020,47.0,Evergreen,95135
61,ML81767103,SLD,1055 N Capitol Avenue,73,12,SAN JOSE,"$389,500","$387,000",CO,632,1,1,,0.0,1981.0,440,,10/29/2019,38.0,Berryessa,95133
62,ML81854350,SLD,247 N Capitol Avenue,205,13,SAN JOSE,"$389,900","$405,000",CO,777,1,1,,0.0,1977.0,347,M,9/16/2021,44.0,Alum Rock,95127
63,ML81787942,SLD,88 N Jackson Avenue,208,24,SAN JOSE,"$389,998","$390,000",CO,720,1,1,Y,1.0,2006.0,461,,5/20/2020,14.0,Alum Rock,95116
64,ML81855526,SLD,4631 Capay Drive,4,4,SAN JOSE,"$395,000","$380,000",CO,798,2,1,Y,1.0,1970.0,384,M,8/9/2021,51.0,Cambrian,95118
65,ML81782225,SLD,281 Tradewinds Drive,16,8,SAN JOSE,"$395,000","$415,000",CO,722,1,1,,0.0,1970.0,375,,3/17/2020,50.0,Blossom Valley,95123
66,ML81797780,SLD,88 N Jackson Avenue,214,10,SAN JOSE,"$396,800","$400,000",CO,720,1,1,Y,1.0,2006.0,461,,7/31/2020,14.0,Alum Rock,95116
67,ML81856511,SLD,1055 N Capitol Avenue,45,11,SAN JOSE,"$398,000","$419,000",CO,632,1,1,,0.0,1981.0,468,M,9/13/2021,40.0,Berryessa,95133
68,ML81813465,SLD,2925 Florence Avenue,34,22,SAN JOSE,"$398,000","$406,000",CO,874,2,1,,0.0,1964.0,540,M,1/25/2021,56.0,Alum Rock,95127
69,ML81766490,SLD,1371 Mcquesten Drive,D,126,SAN JOSE,"$398,000","$399,000",CO,876,2,1,Y,1.0,1980.0,355,,1/17/2020,39.0,South San Jose,95122
70,ML81851226,SLD,1060 Tekman Drive,,6,SAN JOSE,"$398,000","$420,000",CO,648,1,1,,0.0,1984.0,332,M,8/6/2021,37.0,South San Jose,95122
71,ML81737290,SLD,1092 Summerplace Drive,,17,SAN JOSE,"$398,000","$430,000",CO,730,1,1,,0.0,1992.0,397,,3/15/2019,27.0,South San Jose,95122
72,ML81851096,SLD,1055 N Capitol Avenue,98,15,SAN JOSE,"$398,500","$395,000",CO,632,1,1,,0.0,1981.0,468,,8/17/2021,40.0,Berryessa,95133
73,ML81775829,SLD,312 Doris Avenue,,11,SAN JOSE,"$398,888","$550,000",DE,845,2,1,Y,2.0,1946.0,,,2/21/2020,73.0,Alum Rock,95127
74,ML81766414,SLD,309 Tradewinds Drive,9,34,SAN JOSE,"$398,888","$410,000",CO,722,1,1,,0.0,1970.0,373,,10/30/2019,49.0,Blossom Valley,95123
75,ML81755210,SLD,41 Monte Verano Court,,0,SAN JOSE,"$399,000","$450,000",CO,877,2,1,,0.0,1988.0,408,,7/1/2019,31.0,Alum Rock,95116
76,ML81741364,SLD,706 Cassaday Court,,1,SAN JOSE,"$399,000","$430,000",CO,648,1,1,,0.0,1988.0,460,,4/12/2019,31.0,Blossom Valley,95136
77,ML81772687,SLD,5497 Spinnaker Ww,3,5,SAN JOSE,"$399,000","$430,000",CO,903,2,1,Y,1.0,1970.0,350,,11/14/2019,49.0,Blossom Valley,95123
78,ML81822537,SLD,247 N Capitol Avenue,102,88,SAN JOSE,"$399,000","$403,000",CO,777,1,1,,0.0,1977.0,347,M,4/7/2021,43.0,Alum Rock,95127
79,ML81773993,SLD,133 Monte Verano Court Court,,10,SAN JOSE,"$399,000","$428,000",CO,877,2,1,,0.0,1988.0,408,,12/9/2019,31.0,Alum Rock,95116
80,ML81735287,SLD,4970 Cherry Avenue,208,9,SAN JOSE,"$399,000","$430,000",CO,675,1,1,,0.0,1979.0,299,,2/22/2019,40.0,Cambrian,95118
81,ML81770559,SLD,120 Kenbrook Circle,,43,SAN JOSE,"$399,000","$439,500",CO,950,1,1,Y,1.0,1987.0,312,,12/13/2019,32.0,South San Jose,95111
82,ML81799228,SLD,275 Tradewinds Drive,4,6,SAN JOSE,"$399,000","$415,000",CO,723,1,1,,0.0,1970.0,376,,8/21/2020,50.0,Blossom Valley,95123
83,ML81840165,SLD,3198 Groth Court,,22,SAN JOSE,"$399,000","$436,000",CO,762,2,1,Y,2.0,1982.0,276,,7/20/2021,39.0,South San Jose,95111
84,ML81780718,SLD,5468 Spinnaker Walkway,3,8,SAN JOSE,"$399,000","$450,000",CO,903,2,1,Y,1.0,1970.0,350,,2/14/2020,50.0,Blossom Valley,95123
85,ML81745169,SLD,281 Tradewinds Drive,6,24,SAN JOSE,"$399,000","$408,000",CO,722,1,1,,0.0,1970.0,373,,5/17/2019,49.0,Blossom Valley,95123
86,ML81780743,SLD,88 N Jackson Avenue,117,4,SAN JOSE,"$399,000","$410,000",CO,720,1,1,,0.0,2006.0,461,,3/2/2020,14.0,Alum Rock,95116
87,ML81781810,SLD,5519 Eagles Lane,2,12,SAN JOSE,"$399,000","$465,000",CO,903,2,1,Y,1.0,1970.0,350,,3/12/2020,50.0,Blossom Valley,95123
88,ML81773868,SLD,88 N Jackson Avenue,414,100,SAN JOSE,"$399,000","$415,000",CO,720,1,1,Y,1.0,2006.0,463,,3/2/2020,13.0,Alum Rock,95116
89,ML81839452,SLD,88 N Jackson Avenue,427,7,SAN JOSE,"$399,000","$399,000",CO,720,1,1,Y,1.0,2006.0,461,M,4/30/2021,15.0,Alum Rock,95116
90,ML81799422,SLD,1060 S 3rd Street,328,203,SAN JOSE,"$399,000","$399,000",CO,550,1,1,Y,1.0,2005.0,495,,1/22/2021,15.0,Central San Jose,95112
91,ML81855058,SLD,88 Rancho Drive,D,6,SAN JOSE,"$399,000","$460,000",CO,822,2,1,Y,1.0,1983.0,225,,9/3/2021,38.0,South San Jose,95111
92,ML81746079,SLD,102 Rancho Drive,B,88,SAN JOSE,"$399,000","$405,000",CO,822,2,1,Y,1.0,1983.0,340,,8/6/2019,36.0,South San Jose,95111
93,ML81741929,SLD,147 Monte Verano Court,,19,SAN JOSE,"$399,000","$448,600",CO,877,2,1,,0.0,1988.0,408,,4/18/2019,31.0,Alum Rock,95116
94,ME221012923,SLD,5563 Cribari Circle,,19,SAN JOSE,"$399,000","$390,000",CO,947,1,1,,0.0,1971.0,712,M,6/9/2021,50.0,Evergreen,95135
95,40948498,SLD,247 N Capitol Ave,106,15,SAN JOSE,"$399,000","$445,000",CO,777,1,1,N,0.0,1977.0,345,M,6/25/2021,44.0,Santa Clara County,95127
96,ML81804253,SLD,275 Tradewinds Drive,16,48,SAN JOSE,"$399,888","$403,000",CO,722,1,1,,0.0,1970.0,375,M,10/21/2020,50.0,Blossom Valley,95123
97,ML81794295,SLD,309 Tradewinds Drive,2,12,SAN JOSE,"$399,888","$420,000",CO,722,1,1,,0.0,1970.0,376,,7/6/2020,50.0,Blossom Valley,95123
98,ML81846744,SLD,1968 Prince George Drive,,0,SAN JOSE,"$399,888","$400,000",CO,560,1,1,Y,1.0,1983.0,355,M,7/20/2021,38.0,Alum Rock,95116
99,ML81780796,SLD,88 N Jackson Avenue,515,7,SAN JOSE,"$399,888","$450,000",CO,720,1,1,,0.0,2006.0,461,,2/27/2020,14.0,Alum Rock,95116
100,ML81839546,SLD,5700 Calmor Court,4,12,SAN JOSE,"$399,888","$485,000",CO,798,2,1,,0.0,1970.0,370,M,5/20/2021,51.0,Blossom Valley,95123
101,ML81800189,SLD,2925 Florence Avenue,76,4,SAN JOSE,"$399,888","$480,000",CO,960,3,1,,0.0,1964.0,540,,8/19/2020,56.0,Alum Rock,95127
102,ML81782301,SLD,325 Blossom Hill Road,4,9,SAN JOSE,"$399,888","$445,000",CO,798,2,1,Y,1.0,1970.0,308,,3/27/2020,50.0,Blossom Valley,95123
103,ML81828719,SLD,1205 Coyote Creek Court,,11,SAN JOSE,"$399,950","$450,000",CO,849,2,2,Y,1.0,1984.0,325,M,2/26/2021,37.0,Central San Jose,95116
104,ML81760676,SLD,5473 Tradewinds Walkway,2,87,SAN JOSE,"$399,999","$403,500",TH,903,2,1,,0.0,1970.0,350,,11/13/2019,49.0,Blossom Valley,95123
105,ML81766132,SLD,5511 Eagles Lane,3,11,SAN JOSE,"$399,999","$440,000",CO,903,2,1,Y,1.0,1970.0,308,,10/8/2019,49.0,Blossom Valley,95123
106,ML81775460,SLD,5560 Spinnaker Drive,3,6,SAN JOSE,"$399,999","$455,000",CO,903,2,1,Y,1.0,1970.0,308,,12/27/2019,49.0,Blossom Valley,95123
107,ML81769781,SLD,88 N Jackson Avenue,117,21,SAN JOSE,"$399,999","$430,000",CO,720,1,1,Y,1.0,2006.0,408,,11/15/2019,13.0,Alum Rock,95116
108,ML81746790,SLD,135 Oakland Avenue,,18,SAN JOSE,"$399,999","$501,000",DE,1340,7,2,,0.0,1920.0,,,5/31/2019,99.0,Alum Rock,95116
109,ML81819930,SLD,2398 Balme Drive,,49,SAN JOSE,"$399,999","$380,000",CO,648,1,1,Y,1.0,1984.0,320,,3/2/2021,36.0,South San Jose,95122
110,ML81789812,SLD,5322 Cribari Glen,,12,SAN JOSE,"$399,999","$410,000",CO,1223,2,2,,0.0,1972.0,773,,6/10/2020,48.0,Evergreen,95135
111,ML81743310,SLD,292 Tradewinds Drive,10,10,SAN JOSE,"$399,999","$400,000",CO,722,1,1,,0.0,1970.0,373,,4/19/2019,49.0,Blossom Valley,95123
112,40889149,SLD,2455 Kimpton Ct,,23,SAN JOSE,"$399,999","$408,000",CO,720,1,1,Y,1.0,1985.0,297,M,3/2/2020,35.0,Santa Clara County,95133
113,ML81774287,SLD,5381 Cribari Crest,,203,SAN JOSE,"$400,000","$385,000",CO,947,2,1,,0.0,1969.0,674,,7/16/2020,50.0,Evergreen,95135
114,ML81757291,SLD,281 Tradewinds Drive,16,44,SAN JOSE,"$400,000","$395,000",CO,722,1,1,,0.0,1970.0,373,,8/30/2019,49.0,Blossom Valley,95123
115,ML81758371,SLD,29 Muirfield Court,,13,SAN JOSE,"$404,999","$400,000",CO,780,1,1,Y,1.0,1982.0,347,,8/5/2019,37.0,Alum Rock,95116
116,ME19046730,SLD,29 Muirfield Court,,34,SAN JOSE,"$404,999","$400,000",CO,780,1,1,,1.0,1982.0,347,M,8/5/2019,39.0,Alum Rock,95116 2680
117,ML81783864,SLD,1460 Four Oaks Circle,,25,SAN JOSE,"$405,000","$400,000",CO,676,1,1,,0.0,1986.0,435,M,4/21/2020,34.0,Berryessa,95131
118,ML81846826,SLD,259 N Capitol Avenue,180,8,SAN JOSE,"$405,000","$405,000",CO,777,1,1,,0.0,1977.0,347,M,7/7/2021,44.0,Alum Rock,95127
119,ML81777204,SLD,5574 Cribari Circle,,56,SAN JOSE,"$408,000","$395,000",CO,1240,2,2,Y,1.0,1968.0,774,,2/19/2020,51.0,Evergreen,95135
120,ML81823622,SLD,5510 Cribari Bend,,12,SAN JOSE,"$409,000","$399,000",CO,1223,2,1,,0.0,1969.0,815,M,2/5/2021,51.0,Evergreen,95135
121,ML81817306,SLD,309 Tradewinds Drive,14,3,SAN JOSE,"$409,000","$426,000",CO,722,1,1,,0.0,1970.0,376,M,12/2/2020,50.0,Blossom Valley,95123
122,ML81773097,SLD,5414 Cribari Court,,198,SAN JOSE,"$409,000","$412,000",CO,1223,2,2,,0.0,1969.0,775,M,5/8/2020,50.0,Evergreen,95135
123,ML81783441,SLD,259 N Capitol Avenue,280,15,SAN JOSE,"$409,000","$425,000",CO,777,1,1,,0.0,1977.0,330,,5/26/2020,43.0,Alum Rock,95127
124,ML81733867,SLD,1280 Coyote Creek Place,,17,SAN JOSE,"$409,888","$405,000",CO,633,1,1,Y,1.0,1984.0,285,,2/19/2019,34.0,Central San Jose,95116
125,ML81768521,SLD,5388 Cribari Crest,,37,SAN JOSE,"$410,000","$400,000",CO,1223,2,2,,0.0,1971.0,773,,11/26/2019,48.0,Evergreen,95135
126,ML81844686,SLD,1055 N Capitol Avenue,170,32,SAN JOSE,"$410,000","$410,000",CO,632,1,1,,0.0,1981.0,468,M,7/23/2021,40.0,Berryessa,95133
127,ML81745062,SLD,171 Hayes Avenue,,0,SAN JOSE,"$410,000","$410,000",CO,884,2,1,,0.0,1970.0,358,,4/24/2019,49.0,Blossom Valley,95123
128,ML81794078,SLD,88 N Jackson Avenue,401,5,SAN JOSE,"$410,000","$420,000",CO,720,1,1,,0.0,2006.0,461,,6/29/2020,14.0,Alum Rock,95116
129,ML81730567,SLD,288 Tradewinds Drive,5,37,SAN JOSE,"$410,000","$400,000",CO,722,1,1,,0.0,1970.0,371,,1/14/2019,48.0,Blossom Valley,95123
130,ML81793872,SLD,5528 Tyhurst Court,4,25,SAN JOSE,"$410,000","$413,000",CO,798,2,1,Y,1.0,1970.0,310,,7/22/2020,50.0,Blossom Valley,95123
131,ML81769090,SLD,388 Shadow Run Drive,,6,SAN JOSE,"$410,000","$410,000",CO,621,1,1,,0.0,1987.0,295,,11/7/2019,32.0,Central San Jose,95110
132,ML81791156,SLD,3511 La Terrace Circle,,33,SAN JOSE,"$414,888","$411,000",CO,543,1,1,,0.0,1985.0,498,,6/17/2020,35.0,Blossom Valley,95123
133,ML81753600,SLD,5110 Cribari Place,,154,SAN JOSE,"$415,000","$415,000",CO,1223,2,2,,0.0,1969.0,773,,11/15/2019,50.0,Evergreen,95135
134,ML81752226,SLD,432 Coyote Creek Circle,,7,SAN JOSE,"$415,000","$425,000",CO,633,1,1,Y,1.0,1984.0,307,,6/17/2019,35.0,Central San Jose,95116
135,40881178,SLD,2423 Sequester Ct,,18,SAN JOSE,"$415,000","$455,000",CO,778,1,1,N,0.0,1983.0,400,M,10/23/2019,36.0,Santa Clara County,95133
136,ML81763160,SLD,101 #D Rancho Drive,D,29,SAN JOSE,"$415,000","$408,000",CO,822,2,1,Y,1.0,1983.0,410,,10/16/2019,36.0,South San Jose,95111
137,ML81767567,SLD,2423 Sequester Court,,6,SAN JOSE,"$415,000","$455,000",CO,778,1,1,,0.0,1983.0,400,,10/23/2019,36.0,Berryessa,95133
138,ML81751361,SLD,1779 Schulte Drive,,0,SAN JOSE,"$416,660","$416,660",CO,908,2,1,Y,1.0,1988.0,177,,5/10/2019,31.0,Berryessa,95133
139,ML81751364,SLD,1781 Schulte Drive,,0,SAN JOSE,"$416,660","$416,600",CO,908,2,1,Y,1.0,1988.0,177,,5/10/2019,31.0,Berryessa,95133
140,ML81848986,SLD,1187 Yarwood Court,,34,SAN JOSE,"$417,000","$390,000",CO,658,1,1,,0.0,1988.0,688,M,8/20/2021,33.0,Campbell,95128
141,ML81741369,SLD,5676 Calmor Court,1,4,SAN JOSE,"$417,777","$480,000",CO,810,2,1,,0.0,1970.0,360,,4/5/2019,49.0,Blossom Valley,95123
142,ML81827584,SLD,40 Scharff Avenue,,0,SAN JOSE,"$418,000","$418,000",DE,1352,3,2,Y,2.0,1940.0,,,1/28/2021,81.0,Alum Rock,95116
143,ML81812221,SLD,167 Kenbrook Circle,,5,SAN JOSE,"$418,000","$455,000",CO,724,1,1,Y,1.0,1987.0,312,M,11/3/2020,33.0,South San Jose,95111
144,ML81815650,SLD,5355 Cribari Dell,,47,SAN JOSE,"$418,888","$415,000",CO,1223,2,2,,0.0,1969.0,815,M,12/11/2020,51.0,Evergreen,95135
145,ML81845732,SLD,259 N Capitol Avenue,135,11,SAN JOSE,"$418,888","$425,000",CO,777,2,1,Y,1.0,1977.0,347,M,7/2/2021,44.0,Alum Rock,95127
146,ML81777369,SLD,885 Wyman Way,2,4,SAN JOSE,"$418,888","$438,000",CO,903,2,1,,0.0,1971.0,320,,1/14/2020,48.0,Berryessa,95133
147,ML81738643,SLD,281 Tradewinds Drive,1,8,SAN JOSE,"$419,000","$400,000",CO,722,1,1,,0.0,1970.0,374,,3/26/2019,49.0,Blossom Valley,95123
148,ML81797341,SLD,1054 Summermist Court,,6,SAN JOSE,"$419,000","$419,000",CO,720,1,1,,0.0,1985.0,482,,7/31/2020,35.0,South San Jose,95122
149,ML81843209,SLD,925 Catkin Court,,13,SAN JOSE,"$419,000","$425,000",CO,658,1,1,,0.0,1988.0,688,,6/16/2021,33.0,Campbell,95128
150,ML81836135,SLD,1149 Yarwood Court,,8,SAN JOSE,"$419,000","$419,000",CO,658,1,1,,0.0,1988.0,688,,5/4/2021,33.0,Campbell,95128
151,ML81762316,SLD,1386 Mcquesten Drive,D,12,SAN JOSE,"$419,000","$419,000",CO,876,2,1,Y,1.0,1980.0,355,M,9/11/2019,39.0,South San Jose,95122
152,ML81734500,SLD,305 Stonegate Circle,,16,SAN JOSE,"$419,000","$410,000",CO,560,1,1,Y,1.0,1984.0,250,,2/25/2019,35.0,Central San Jose,95110
153,ML81788605,SLD,302 Stonegate Circle,,2,SAN JOSE,"$419,000","$430,000",CO,560,1,1,Y,1.0,1984.0,250,,5/6/2020,36.0,Central San Jose,95110
154,40876164,SLD,1386 Mcquesten Dr,D,13,SAN JOSE,"$419,000","$419,000",CO,876,2,1,Y,1.0,1980.0,355,M,9/11/2019,39.0,Santa Clara County,95122
